天通苑北苑二区商品房电梯大两居,433,2室1厅,113.68平米,南 北,精装,中楼层(共17层),2004年建,板楼, 南 北 ,,
高楼层层，满五年唯一，视野棒，看房方便,385,2室1厅,80.55平米,南 北,简装,高楼层(共15层),2010年建,板塔结合, 南 北 ,,
中海尚湖世家下叠  当时的样板间房,1080,4室2厅,295.32平米,南 北,精装,4层,2013年建,板楼,联排别墅 , 南 北 ,
首开国风美唐二期  南北通透  看房方便,549,3室1厅,91.88平米,南 北,精装,低楼层(共20层),2014年建,板楼, 南 北 ,,
龙跃街7号院 商品房 电梯房 南向两居室,555,2室1厅,87.44平米,南,精装,高楼层(共18层),2015年建,板塔结合, 南 ,,
此房商品房满五年，正南正北，中间楼层！装修好。,455,3室2厅,103平米,南 北,简装,底层(共6层),2000年建,板楼, 南 北 ,,
建明里小区中间楼层，南北双通透小三居，楼龄2001年,290,3室1厅,82.82平米,南 北,简装,中楼层(共6层),2001年建,板楼, 南 北 ,,
天通苑中苑板楼两居室,商满二唯一,看房有钥匙,428,2室1厅,104.7平米,南 北,简装,中楼层(共7层),2008年建,板楼, 南 北 
北京风景 地下室一层 南北通透采光好,170,1室1厅,82.38平米,南 北,精装,地下室(共6层) ,板楼, 南 北 ,,,
天鑫家园商品房社区，正规一居室,305,1室1厅,51.67平米,北,简装,中楼层(共6层),2003年建,板塔结合, 北 ,,
新龙城高楼层二居室，满五年，采光视野好,528,2室1厅,100.95平米,南 北,简装,高楼层(共13层),2007年建,板楼, 南 北 ,,
满五唯一，全明格局，精装修，采光好，,319,3室1厅,88.99平米,南 北,简装,低楼层(共18层) ,塔楼, 南 北 ,,,
天通苑东三区法式园眼睛房，双卧朝南，客厅朝南，双卫,570,3室2厅,164.76平米,南 北,精装,底层(共7层),2002年建,板楼, 南 北 ,,
旺龙花园2004年建成 钢混结构 中间楼层 精装修一居室,297,1室1厅,52.49平米,东北,精装,中楼层(共6层),2004年建,塔楼, 东北 ,,
天通苑，电梯3居室，3阳台，明厨明卫，精装拎包入住,496,3室2厅,176.46平米,南 北,精装,低楼层(共32层),2003年建,塔楼, 南 北 ,,
龙锦苑东二区商品房满五年唯一 自住精装修 南北通透,429,3室1厅,119.02平米,南 北,精装,顶层(共6层),2008年建,板楼, 南 北 ,,
保利罗兰香谷南向两居室，精装修，采光充足,365,2室1厅,84.96平米,南,精装,中楼层(共14层),2012年建,板楼, 南 ,,
天通苑【首付150万】刚需两居 精装修 看房方便,378,2室1厅,92.16平米,东,精装,高楼层(共33层),2003年建,塔楼, 东 ,,
天通苑中苑 满五年唯一 带电梯两居室,418,2室1厅,103.6平米,西,精装,中楼层(共16层),2008年建,板楼, 西 ,,
此房是商品房满五年且唯一，无抵押，产权清晰,485,3室1厅,115.26平米,南 北,精装,中楼层(共6层),1999年建,板楼, 南 北 ,,
北街家园六区   南北通透  满五唯一 中间楼层,329,2室1厅,68.97平米,南 北,简装,中楼层(共18层),2010年建,板楼, 南 北 ,,
天通苑北一区 电梯2室 采光视野好  配套成熟,340,2室1厅,86.38平米,西,简装,高楼层(共29层),2004年建,塔楼, 西 ,,
满五年唯一，南北通透，采光好，详情联系,375,2室2厅,99.68平米,南 北,简装,顶层(共6层),2007年建,板楼, 南 北 ,,
京投发展公园悦府 三居室 地铁30米  接受周期！！！！,665,3室2厅,113.53平米,南 北,精装,顶层(共11层),2014年建,板楼, 南 北 ,,
南北通透  两卧朝南 客厅朝东 商品房满五年唯一,596,3室1厅,180.06平米,南 北,简装,中楼层(共13层),2001年建,板楼, 南 北 ,,
舒适南北通透大两居 拎包入住 把边户型 客厅宽敞明亮,333,2室2厅,94.99平米,东 南 北,精装,高楼层(共6层),2004年建,板楼, 东 南 北 ,,
龙腾苑三区中间楼层南北通透三居室,498,3室1厅,117.67平米,南 北,简装,中楼层(共5层),2002年建,板楼, 南 北 ,,
龙城花园五期+2008年房子+带电梯+上叠+精装+南北通透,968,4室2厅,234.49平米,南 北,精装,高楼层(共6层),2007年建,板楼, 南 北 ,,
新龙城电梯眼镜三居，明厨明卫不临街，看房有钥匙,628,3室1厅,108.83平米,南 北,精装,中楼层(共8层),2007年建,板塔结合, 南 北 ,,
南北通透 满五年唯一 户型方正。非顶层,329,2室1厅,94.16平米,南 北,精装,高楼层(共6层),2003年建,板楼, 南 北 ,,
天通苑北苑二区商品房电梯大两居,433,2室1厅,113.68平米,南 北,精装,中楼层(共17层),2004年建,板楼, 南 北 ,,
高楼层层，满五年唯一，视野棒，看房方便,385,2室1厅,80.55平米,南 北,简装,高楼层(共15层),2010年建,板塔结合, 南 北 ,,
中海尚湖世家下叠  当时的样板间房,1080,4室2厅,295.32平米,南 北,精装,4层,2013年建,板楼,联排别墅 , 南 北 ,
首开国风美唐二期  南北通透  看房方便,549,3室1厅,91.88平米,南 北,精装,低楼层(共20层),2014年建,板楼, 南 北 ,,
龙跃街7号院 商品房 电梯房 南向两居室,555,2室1厅,87.44平米,南,精装,高楼层(共18层),2015年建,板塔结合, 南 ,,
此房商品房满五年，正南正北，中间楼层！装修好。,455,3室2厅,103平米,南 北,简装,底层(共6层),2000年建,板楼, 南 北 ,,
建明里小区中间楼层，南北双通透小三居，楼龄2001年,290,3室1厅,82.82平米,南 北,简装,中楼层(共6层),2001年建,板楼, 南 北 ,,
天通苑中苑板楼两居室,商满二唯一,看房有钥匙,428,2室1厅,104.7平米,南 北,简装,中楼层(共7层),2008年建,板楼, 南 北 
北京风景 地下室一层 南北通透采光好,170,1室1厅,82.38平米,南 北,精装,地下室(共6层) ,板楼, 南 北 ,,,
天鑫家园商品房社区，正规一居室,305,1室1厅,51.67平米,北,简装,中楼层(共6层),2003年建,板塔结合, 北 ,,
新龙城高楼层二居室，满五年，采光视野好,528,2室1厅,100.95平米,南 北,简装,高楼层(共13层),2007年建,板楼, 南 北 ,,
满五唯一，全明格局，精装修，采光好，,319,3室1厅,88.99平米,南 北,简装,低楼层(共18层) ,塔楼, 南 北 ,,,
天通苑东三区法式园眼睛房，双卧朝南，客厅朝南，双卫,570,3室2厅,164.76平米,南 北,精装,底层(共7层),2002年建,板楼, 南 北 ,,
旺龙花园2004年建成 钢混结构 中间楼层 精装修一居室,297,1室1厅,52.49平米,东北,精装,中楼层(共6层),2004年建,塔楼, 东北 ,,
天通苑，电梯3居室，3阳台，明厨明卫，精装拎包入住,496,3室2厅,176.46平米,南 北,精装,低楼层(共32层),2003年建,塔楼, 南 北 ,,
龙锦苑东二区商品房满五年唯一 自住精装修 南北通透,429,3室1厅,119.02平米,南 北,精装,顶层(共6层),2008年建,板楼, 南 北 ,,
保利罗兰香谷南向两居室，精装修，采光充足,365,2室1厅,84.96平米,南,精装,中楼层(共14层),2012年建,板楼, 南 ,,
天通苑【首付150万】刚需两居 精装修 看房方便,378,2室1厅,92.16平米,东,精装,高楼层(共33层),2003年建,塔楼, 东 ,,
天通苑中苑 满五年唯一 带电梯两居室,418,2室1厅,103.6平米,西,精装,中楼层(共16层),2008年建,板楼, 西 ,,
此房是商品房满五年且唯一，无抵押，产权清晰,485,3室1厅,115.26平米,南 北,精装,中楼层(共6层),1999年建,板楼, 南 北 ,,
北街家园六区   南北通透  满五唯一 中间楼层,329,2室1厅,68.97平米,南 北,简装,中楼层(共18层),2010年建,板楼, 南 北 ,,
天通苑北一区 电梯2室 采光视野好  配套成熟,340,2室1厅,86.38平米,西,简装,高楼层(共29层),2004年建,塔楼, 西 ,,
满五年唯一，南北通透，采光好，详情联系,375,2室2厅,99.68平米,南 北,简装,顶层(共6层),2007年建,板楼, 南 北 ,,
京投发展公园悦府 三居室 地铁30米  接受周期！！！！,665,3室2厅,113.53平米,南 北,精装,顶层(共11层),2014年建,板楼, 南 北 ,,
南北通透  两卧朝南 客厅朝东 商品房满五年唯一,596,3室1厅,180.06平米,南 北,简装,中楼层(共13层),2001年建,板楼, 南 北 ,,
舒适南北通透大两居 拎包入住 把边户型 客厅宽敞明亮,333,2室2厅,94.99平米,东 南 北,精装,高楼层(共6层),2004年建,板楼, 东 南 北 ,,
龙腾苑三区中间楼层南北通透三居室,498,3室1厅,117.67平米,南 北,简装,中楼层(共5层),2002年建,板楼, 南 北 ,,
龙城花园五期+2008年房子+带电梯+上叠+精装+南北通透,968,4室2厅,234.49平米,南 北,精装,高楼层(共6层),2007年建,板楼, 南 北 ,,
新龙城电梯眼镜三居，明厨明卫不临街，看房有钥匙,628,3室1厅,108.83平米,南 北,精装,中楼层(共8层),2007年建,板塔结合, 南 北 ,,
南北通透 满五年唯一 户型方正。非顶层,329,2室1厅,94.16平米,南 北,精装,高楼层(共6层),2003年建,板楼, 南 北 ,,
天通苑北苑二区商品房电梯大两居,433,2室1厅,113.68平米,南 北,精装,中楼层(共17层),2004年建,板楼, 南 北 ,,
高楼层层，满五年唯一，视野棒，看房方便,385,2室1厅,80.55平米,南 北,简装,高楼层(共15层),2010年建,板塔结合, 南 北 ,,
中海尚湖世家下叠  当时的样板间房,1080,4室2厅,295.32平米,南 北,精装,4层,2013年建,板楼,联排别墅 , 南 北 ,
首开国风美唐二期  南北通透  看房方便,549,3室1厅,91.88平米,南 北,精装,低楼层(共20层),2014年建,板楼, 南 北 ,,
龙跃街7号院 商品房 电梯房 南向两居室,555,2室1厅,87.44平米,南,精装,高楼层(共18层),2015年建,板塔结合, 南 ,,
此房商品房满五年，正南正北，中间楼层！装修好。,455,3室2厅,103平米,南 北,简装,底层(共6层),2000年建,板楼, 南 北 ,,
建明里小区中间楼层，南北双通透小三居，楼龄2001年,290,3室1厅,82.82平米,南 北,简装,中楼层(共6层),2001年建,板楼, 南 北 ,,
天通苑中苑板楼两居室,商满二唯一,看房有钥匙,428,2室1厅,104.7平米,南 北,简装,中楼层(共7层),2008年建,板楼, 南 北 
北京风景 地下室一层 南北通透采光好,170,1室1厅,82.38平米,南 北,精装,地下室(共6层) ,板楼, 南 北 ,,,
天鑫家园商品房社区，正规一居室,305,1室1厅,51.67平米,北,简装,中楼层(共6层),2003年建,板塔结合, 北 ,,
新龙城高楼层二居室，满五年，采光视野好,528,2室1厅,100.95平米,南 北,简装,高楼层(共13层),2007年建,板楼, 南 北 ,,
满五唯一，全明格局，精装修，采光好，,319,3室1厅,88.99平米,南 北,简装,低楼层(共18层) ,塔楼, 南 北 ,,,
天通苑东三区法式园眼睛房，双卧朝南，客厅朝南，双卫,570,3室2厅,164.76平米,南 北,精装,底层(共7层),2002年建,板楼, 南 北 ,,
旺龙花园2004年建成 钢混结构 中间楼层 精装修一居室,297,1室1厅,52.49平米,东北,精装,中楼层(共6层),2004年建,塔楼, 东北 ,,
天通苑，电梯3居室，3阳台，明厨明卫，精装拎包入住,496,3室2厅,176.46平米,南 北,精装,低楼层(共32层),2003年建,塔楼, 南 北 ,,
龙锦苑东二区商品房满五年唯一 自住精装修 南北通透,429,3室1厅,119.02平米,南 北,精装,顶层(共6层),2008年建,板楼, 南 北 ,,
保利罗兰香谷南向两居室，精装修，采光充足,365,2室1厅,84.96平米,南,精装,中楼层(共14层),2012年建,板楼, 南 ,,
天通苑【首付150万】刚需两居 精装修 看房方便,378,2室1厅,92.16平米,东,精装,高楼层(共33层),2003年建,塔楼, 东 ,,
天通苑中苑 满五年唯一 带电梯两居室,418,2室1厅,103.6平米,西,精装,中楼层(共16层),2008年建,板楼, 西 ,,
此房是商品房满五年且唯一，无抵押，产权清晰,485,3室1厅,115.26平米,南 北,精装,中楼层(共6层),1999年建,板楼, 南 北 ,,
北街家园六区   南北通透  满五唯一 中间楼层,329,2室1厅,68.97平米,南 北,简装,中楼层(共18层),2010年建,板楼, 南 北 ,,
天通苑北一区 电梯2室 采光视野好  配套成熟,340,2室1厅,86.38平米,西,简装,高楼层(共29层),2004年建,塔楼, 西 ,,
满五年唯一，南北通透，采光好，详情联系,375,2室2厅,99.68平米,南 北,简装,顶层(共6层),2007年建,板楼, 南 北 ,,
京投发展公园悦府 三居室 地铁30米  接受周期！！！！,665,3室2厅,113.53平米,南 北,精装,顶层(共11层),2014年建,板楼, 南 北 ,,
南北通透  两卧朝南 客厅朝东 商品房满五年唯一,596,3室1厅,180.06平米,南 北,简装,中楼层(共13层),2001年建,板楼, 南 北 ,,
舒适南北通透大两居 拎包入住 把边户型 客厅宽敞明亮,333,2室2厅,94.99平米,东 南 北,精装,高楼层(共6层),2004年建,板楼, 东 南 北 ,,
龙腾苑三区中间楼层南北通透三居室,498,3室1厅,117.67平米,南 北,简装,中楼层(共5层),2002年建,板楼, 南 北 ,,
龙城花园五期+2008年房子+带电梯+上叠+精装+南北通透,968,4室2厅,234.49平米,南 北,精装,高楼层(共6层),2007年建,板楼, 南 北 ,,
新龙城电梯眼镜三居，明厨明卫不临街，看房有钥匙,628,3室1厅,108.83平米,南 北,精装,中楼层(共8层),2007年建,板塔结合, 南 北 ,,
南北通透 满五年唯一 户型方正。非顶层,329,2室1厅,94.16平米,南 北,精装,高楼层(共6层),2003年建,板楼, 南 北 ,,
天通苑北苑二区商品房电梯大两居,433,2室1厅,113.68平米,南 北,精装,中楼层(共17层),2004年建,板楼, 南 北 ,,
高楼层层，满五年唯一，视野棒，看房方便,385,2室1厅,80.55平米,南 北,简装,高楼层(共15层),2010年建,板塔结合, 南 北 ,,
中海尚湖世家下叠  当时的样板间房,1080,4室2厅,295.32平米,南 北,精装,4层,2013年建,板楼,联排别墅 , 南 北 ,
首开国风美唐二期  南北通透  看房方便,549,3室1厅,91.88平米,南 北,精装,低楼层(共20层),2014年建,板楼, 南 北 ,,
龙跃街7号院 商品房 电梯房 南向两居室,555,2室1厅,87.44平米,南,精装,高楼层(共18层),2015年建,板塔结合, 南 ,,
此房商品房满五年，正南正北，中间楼层！装修好。,455,3室2厅,103平米,南 北,简装,底层(共6层),2000年建,板楼, 南 北 ,,
建明里小区中间楼层，南北双通透小三居，楼龄2001年,290,3室1厅,82.82平米,南 北,简装,中楼层(共6层),2001年建,板楼, 南 北 ,,
天通苑中苑板楼两居室,商满二唯一,看房有钥匙,428,2室1厅,104.7平米,南 北,简装,中楼层(共7层),2008年建,板楼, 南 北 
北京风景 地下室一层 南北通透采光好,170,1室1厅,82.38平米,南 北,精装,地下室(共6层) ,板楼, 南 北 ,,,
天鑫家园商品房社区，正规一居室,305,1室1厅,51.67平米,北,简装,中楼层(共6层),2003年建,板塔结合, 北 ,,
新龙城高楼层二居室，满五年，采光视野好,528,2室1厅,100.95平米,南 北,简装,高楼层(共13层),2007年建,板楼, 南 北 ,,
满五唯一，全明格局，精装修，采光好，,319,3室1厅,88.99平米,南 北,简装,低楼层(共18层) ,塔楼, 南 北 ,,,
天通苑东三区法式园眼睛房，双卧朝南，客厅朝南，双卫,570,3室2厅,164.76平米,南 北,精装,底层(共7层),2002年建,板楼, 南 北 ,,
旺龙花园2004年建成 钢混结构 中间楼层 精装修一居室,297,1室1厅,52.49平米,东北,精装,中楼层(共6层),2004年建,塔楼, 东北 ,,
天通苑，电梯3居室，3阳台，明厨明卫，精装拎包入住,496,3室2厅,176.46平米,南 北,精装,低楼层(共32层),2003年建,塔楼, 南 北 ,,
龙锦苑东二区商品房满五年唯一 自住精装修 南北通透,429,3室1厅,119.02平米,南 北,精装,顶层(共6层),2008年建,板楼, 南 北 ,,
保利罗兰香谷南向两居室，精装修，采光充足,365,2室1厅,84.96平米,南,精装,中楼层(共14层),2012年建,板楼, 南 ,,
天通苑【首付150万】刚需两居 精装修 看房方便,378,2室1厅,92.16平米,东,精装,高楼层(共33层),2003年建,塔楼, 东 ,,
天通苑中苑 满五年唯一 带电梯两居室,418,2室1厅,103.6平米,西,精装,中楼层(共16层),2008年建,板楼, 西 ,,
此房是商品房满五年且唯一，无抵押，产权清晰,485,3室1厅,115.26平米,南 北,精装,中楼层(共6层),1999年建,板楼, 南 北 ,,
北街家园六区   南北通透  满五唯一 中间楼层,329,2室1厅,68.97平米,南 北,简装,中楼层(共18层),2010年建,板楼, 南 北 ,,
天通苑北一区 电梯2室 采光视野好  配套成熟,340,2室1厅,86.38平米,西,简装,高楼层(共29层),2004年建,塔楼, 西 ,,
满五年唯一，南北通透，采光好，详情联系,375,2室2厅,99.68平米,南 北,简装,顶层(共6层),2007年建,板楼, 南 北 ,,
京投发展公园悦府 三居室 地铁30米  接受周期！！！！,665,3室2厅,113.53平米,南 北,精装,顶层(共11层),2014年建,板楼, 南 北 ,,
南北通透  两卧朝南 客厅朝东 商品房满五年唯一,596,3室1厅,180.06平米,南 北,简装,中楼层(共13层),2001年建,板楼, 南 北 ,,
舒适南北通透大两居 拎包入住 把边户型 客厅宽敞明亮,333,2室2厅,94.99平米,东 南 北,精装,高楼层(共6层),2004年建,板楼, 东 南 北 ,,
龙腾苑三区中间楼层南北通透三居室,498,3室1厅,117.67平米,南 北,简装,中楼层(共5层),2002年建,板楼, 南 北 ,,
龙城花园五期+2008年房子+带电梯+上叠+精装+南北通透,968,4室2厅,234.49平米,南 北,精装,高楼层(共6层),2007年建,板楼, 南 北 ,,
新龙城电梯眼镜三居，明厨明卫不临街，看房有钥匙,628,3室1厅,108.83平米,南 北,精装,中楼层(共8层),2007年建,板塔结合, 南 北 ,,
南北通透 满五年唯一 户型方正。非顶层,329,2室1厅,94.16平米,南 北,精装,高楼层(共6层),2003年建,板楼, 南 北 ,,
天通苑北苑二区商品房电梯大两居,433,2室1厅,113.68平米,南 北,精装,中楼层(共17层),2004年建,板楼, 南 北 ,,
高楼层层，满五年唯一，视野棒，看房方便,385,2室1厅,80.55平米,南 北,简装,高楼层(共15层),2010年建,板塔结合, 南 北 ,,
中海尚湖世家下叠  当时的样板间房,1080,4室2厅,295.32平米,南 北,精装,4层,2013年建,板楼,联排别墅 , 南 北 ,
首开国风美唐二期  南北通透  看房方便,549,3室1厅,91.88平米,南 北,精装,低楼层(共20层),2014年建,板楼, 南 北 ,,
龙跃街7号院 商品房 电梯房 南向两居室,555,2室1厅,87.44平米,南,精装,高楼层(共18层),2015年建,板塔结合, 南 ,,
此房商品房满五年，正南正北，中间楼层！装修好。,455,3室2厅,103平米,南 北,简装,底层(共6层),2000年建,板楼, 南 北 ,,
建明里小区中间楼层，南北双通透小三居，楼龄2001年,290,3室1厅,82.82平米,南 北,简装,中楼层(共6层),2001年建,板楼, 南 北 ,,
天通苑中苑板楼两居室,商满二唯一,看房有钥匙,428,2室1厅,104.7平米,南 北,简装,中楼层(共7层),2008年建,板楼, 南 北 
北京风景 地下室一层 南北通透采光好,170,1室1厅,82.38平米,南 北,精装,地下室(共6层) ,板楼, 南 北 ,,,
天鑫家园商品房社区，正规一居室,305,1室1厅,51.67平米,北,简装,中楼层(共6层),2003年建,板塔结合, 北 ,,
新龙城高楼层二居室，满五年，采光视野好,528,2室1厅,100.95平米,南 北,简装,高楼层(共13层),2007年建,板楼, 南 北 ,,
满五唯一，全明格局，精装修，采光好，,319,3室1厅,88.99平米,南 北,简装,低楼层(共18层) ,塔楼, 南 北 ,,,
天通苑东三区法式园眼睛房，双卧朝南，客厅朝南，双卫,570,3室2厅,164.76平米,南 北,精装,底层(共7层),2002年建,板楼, 南 北 ,,
旺龙花园2004年建成 钢混结构 中间楼层 精装修一居室,297,1室1厅,52.49平米,东北,精装,中楼层(共6层),2004年建,塔楼, 东北 ,,
天通苑，电梯3居室，3阳台，明厨明卫，精装拎包入住,496,3室2厅,176.46平米,南 北,精装,低楼层(共32层),2003年建,塔楼, 南 北 ,,
龙锦苑东二区商品房满五年唯一 自住精装修 南北通透,429,3室1厅,119.02平米,南 北,精装,顶层(共6层),2008年建,板楼, 南 北 ,,
保利罗兰香谷南向两居室，精装修，采光充足,365,2室1厅,84.96平米,南,精装,中楼层(共14层),2012年建,板楼, 南 ,,
天通苑【首付150万】刚需两居 精装修 看房方便,378,2室1厅,92.16平米,东,精装,高楼层(共33层),2003年建,塔楼, 东 ,,
天通苑中苑 满五年唯一 带电梯两居室,418,2室1厅,103.6平米,西,精装,中楼层(共16层),2008年建,板楼, 西 ,,
此房是商品房满五年且唯一，无抵押，产权清晰,485,3室1厅,115.26平米,南 北,精装,中楼层(共6层),1999年建,板楼, 南 北 ,,
北街家园六区   南北通透  满五唯一 中间楼层,329,2室1厅,68.97平米,南 北,简装,中楼层(共18层),2010年建,板楼, 南 北 ,,
天通苑北一区 电梯2室 采光视野好  配套成熟,340,2室1厅,86.38平米,西,简装,高楼层(共29层),2004年建,塔楼, 西 ,,
满五年唯一，南北通透，采光好，详情联系,375,2室2厅,99.68平米,南 北,简装,顶层(共6层),2007年建,板楼, 南 北 ,,
京投发展公园悦府 三居室 地铁30米  接受周期！！！！,665,3室2厅,113.53平米,南 北,精装,顶层(共11层),2014年建,板楼, 南 北 ,,
南北通透  两卧朝南 客厅朝东 商品房满五年唯一,596,3室1厅,180.06平米,南 北,简装,中楼层(共13层),2001年建,板楼, 南 北 ,,
舒适南北通透大两居 拎包入住 把边户型 客厅宽敞明亮,333,2室2厅,94.99平米,东 南 北,精装,高楼层(共6层),2004年建,板楼, 东 南 北 ,,
龙腾苑三区中间楼层南北通透三居室,498,3室1厅,117.67平米,南 北,简装,中楼层(共5层),2002年建,板楼, 南 北 ,,
龙城花园五期+2008年房子+带电梯+上叠+精装+南北通透,968,4室2厅,234.49平米,南 北,精装,高楼层(共6层),2007年建,板楼, 南 北 ,,
新龙城电梯眼镜三居，明厨明卫不临街，看房有钥匙,628,3室1厅,108.83平米,南 北,精装,中楼层(共8层),2007年建,板塔结合, 南 北 ,,
南北通透 满五年唯一 户型方正。非顶层,329,2室1厅,94.16平米,南 北,精装,高楼层(共6层),2003年建,板楼, 南 北 ,,
天通苑北苑二区商品房电梯大两居,433,2室1厅,113.68平米,南 北,精装,中楼层(共17层),2004年建,板楼, 南 北 ,,
高楼层层，满五年唯一，视野棒，看房方便,385,2室1厅,80.55平米,南 北,简装,高楼层(共15层),2010年建,板塔结合, 南 北 ,,
中海尚湖世家下叠  当时的样板间房,1080,4室2厅,295.32平米,南 北,精装,4层,2013年建,板楼,联排别墅 , 南 北 ,
首开国风美唐二期  南北通透  看房方便,549,3室1厅,91.88平米,南 北,精装,低楼层(共20层),2014年建,板楼, 南 北 ,,
龙跃街7号院 商品房 电梯房 南向两居室,555,2室1厅,87.44平米,南,精装,高楼层(共18层),2015年建,板塔结合, 南 ,,
此房商品房满五年，正南正北，中间楼层！装修好。,455,3室2厅,103平米,南 北,简装,底层(共6层),2000年建,板楼, 南 北 ,,
建明里小区中间楼层，南北双通透小三居，楼龄2001年,290,3室1厅,82.82平米,南 北,简装,中楼层(共6层),2001年建,板楼, 南 北 ,,
天通苑中苑板楼两居室,商满二唯一,看房有钥匙,428,2室1厅,104.7平米,南 北,简装,中楼层(共7层),2008年建,板楼, 南 北 
北京风景 地下室一层 南北通透采光好,170,1室1厅,82.38平米,南 北,精装,地下室(共6层) ,板楼, 南 北 ,,,
天鑫家园商品房社区，正规一居室,305,1室1厅,51.67平米,北,简装,中楼层(共6层),2003年建,板塔结合, 北 ,,
新龙城高楼层二居室，满五年，采光视野好,528,2室1厅,100.95平米,南 北,简装,高楼层(共13层),2007年建,板楼, 南 北 ,,
满五唯一，全明格局，精装修，采光好，,319,3室1厅,88.99平米,南 北,简装,低楼层(共18层) ,塔楼, 南 北 ,,,
天通苑东三区法式园眼睛房，双卧朝南，客厅朝南，双卫,570,3室2厅,164.76平米,南 北,精装,底层(共7层),2002年建,板楼, 南 北 ,,
旺龙花园2004年建成 钢混结构 中间楼层 精装修一居室,297,1室1厅,52.49平米,东北,精装,中楼层(共6层),2004年建,塔楼, 东北 ,,
天通苑，电梯3居室，3阳台，明厨明卫，精装拎包入住,496,3室2厅,176.46平米,南 北,精装,低楼层(共32层),2003年建,塔楼, 南 北 ,,
龙锦苑东二区商品房满五年唯一 自住精装修 南北通透,429,3室1厅,119.02平米,南 北,精装,顶层(共6层),2008年建,板楼, 南 北 ,,
保利罗兰香谷南向两居室，精装修，采光充足,365,2室1厅,84.96平米,南,精装,中楼层(共14层),2012年建,板楼, 南 ,,
天通苑【首付150万】刚需两居 精装修 看房方便,378,2室1厅,92.16平米,东,精装,高楼层(共33层),2003年建,塔楼, 东 ,,
天通苑中苑 满五年唯一 带电梯两居室,418,2室1厅,103.6平米,西,精装,中楼层(共16层),2008年建,板楼, 西 ,,
此房是商品房满五年且唯一，无抵押，产权清晰,485,3室1厅,115.26平米,南 北,精装,中楼层(共6层),1999年建,板楼, 南 北 ,,
北街家园六区   南北通透  满五唯一 中间楼层,329,2室1厅,68.97平米,南 北,简装,中楼层(共18层),2010年建,板楼, 南 北 ,,
天通苑北一区 电梯2室 采光视野好  配套成熟,340,2室1厅,86.38平米,西,简装,高楼层(共29层),2004年建,塔楼, 西 ,,
满五年唯一，南北通透，采光好，详情联系,375,2室2厅,99.68平米,南 北,简装,顶层(共6层),2007年建,板楼, 南 北 ,,
京投发展公园悦府 三居室 地铁30米  接受周期！！！！,665,3室2厅,113.53平米,南 北,精装,顶层(共11层),2014年建,板楼, 南 北 ,,
南北通透  两卧朝南 客厅朝东 商品房满五年唯一,596,3室1厅,180.06平米,南 北,简装,中楼层(共13层),2001年建,板楼, 南 北 ,,
舒适南北通透大两居 拎包入住 把边户型 客厅宽敞明亮,333,2室2厅,94.99平米,东 南 北,精装,高楼层(共6层),2004年建,板楼, 东 南 北 ,,
龙腾苑三区中间楼层南北通透三居室,498,3室1厅,117.67平米,南 北,简装,中楼层(共5层),2002年建,板楼, 南 北 ,,
龙城花园五期+2008年房子+带电梯+上叠+精装+南北通透,968,4室2厅,234.49平米,南 北,精装,高楼层(共6层),2007年建,板楼, 南 北 ,,
新龙城电梯眼镜三居，明厨明卫不临街，看房有钥匙,628,3室1厅,108.83平米,南 北,精装,中楼层(共8层),2007年建,板塔结合, 南 北 ,,
南北通透 满五年唯一 户型方正。非顶层,329,2室1厅,94.16平米,南 北,精装,高楼层(共6层),2003年建,板楼, 南 北 ,,
天通苑北苑二区商品房电梯大两居,433,2室1厅,113.68平米,南 北,精装,中楼层(共17层),2004年建,板楼, 南 北 ,,
高楼层层，满五年唯一，视野棒，看房方便,385,2室1厅,80.55平米,南 北,简装,高楼层(共15层),2010年建,板塔结合, 南 北 ,,
中海尚湖世家下叠  当时的样板间房,1080,4室2厅,295.32平米,南 北,精装,4层,2013年建,板楼,联排别墅 , 南 北 ,
首开国风美唐二期  南北通透  看房方便,549,3室1厅,91.88平米,南 北,精装,低楼层(共20层),2014年建,板楼, 南 北 ,,
龙跃街7号院 商品房 电梯房 南向两居室,555,2室1厅,87.44平米,南,精装,高楼层(共18层),2015年建,板塔结合, 南 ,,
此房商品房满五年，正南正北，中间楼层！装修好。,455,3室2厅,103平米,南 北,简装,底层(共6层),2000年建,板楼, 南 北 ,,
建明里小区中间楼层，南北双通透小三居，楼龄2001年,290,3室1厅,82.82平米,南 北,简装,中楼层(共6层),2001年建,板楼, 南 北 ,,
天通苑中苑板楼两居室,商满二唯一,看房有钥匙,428,2室1厅,104.7平米,南 北,简装,中楼层(共7层),2008年建,板楼, 南 北 
北京风景 地下室一层 南北通透采光好,170,1室1厅,82.38平米,南 北,精装,地下室(共6层) ,板楼, 南 北 ,,,
天鑫家园商品房社区，正规一居室,305,1室1厅,51.67平米,北,简装,中楼层(共6层),2003年建,板塔结合, 北 ,,
新龙城高楼层二居室，满五年，采光视野好,528,2室1厅,100.95平米,南 北,简装,高楼层(共13层),2007年建,板楼, 南 北 ,,
满五唯一，全明格局，精装修，采光好，,319,3室1厅,88.99平米,南 北,简装,低楼层(共18层) ,塔楼, 南 北 ,,,
天通苑东三区法式园眼睛房，双卧朝南，客厅朝南，双卫,570,3室2厅,164.76平米,南 北,精装,底层(共7层),2002年建,板楼, 南 北 ,,
